"ID","Const","sys_recver","sys_lock","sys_deleted"
"1","cCotización",\N,\N,\N
"2","cPedido",\N,\N,\N
"3","cRemisión",\N,\N,\N
"4","cFactura",\N,\N,\N
"5","cNota_de_crédito",\N,\N,\N
"6","cTicket",\N,\N,\N
"7","cGasto",\N,\N,\N
"17","cNota_de_cargo",\N,\N,\N
"18","cPagaré",\N,\N,\N
"19","cRecibo",\N,\N,\N
"33","cIngreso",\N,\N,\N
"34","cEgreso",\N,\N,\N
"65","cDepósito",\N,\N,\N
"66","cCheque",\N,\N,\N
"67","cRetiro",\N,\N,\N
"68","cSPEI",\N,\N,\N
"69","cTransferencia_Interbancaria",\N,\N,\N
"70","cRequisicion",\N,\N,\N
"80","cContrarrecibo",\N,\N,\N
