Item,Description,ItemParent
FX1-00-00-000,Operaciones ERP,
FX1-10-00-000,Catálogos,FX1-00-00-000
FX1-80-00-000,Herramientas,FX1-00-00-000
FX1-80-07-000,Organizar,FX1-80-00-000
FX1-80-07-008,Proveedores por tipo,FX1-80-07-000
FX1-80-07-009,Proveedores por grupo,FX1-80-07-000
FX1-80-07-010,Proveedores por zona,FX1-80-07-000
FX1-10-180-000,Grupo de Proveedores,FX1-10-00-000
FX1-10-180-001,Solo lectura,FX1-10-180-000
FX1-10-180-002,Permitir Agregar Grupo de Proveedores,FX1-10-180-000
FX1-10-180-003,Permitir Modificar Grupo de Proveedores,FX1-10-180-000
FX1-10-180-004,Permitir Eliminar Grupo de Proveedores,FX1-10-180-000
FX1-10-260-000,Proveedores,FX1-10-00-000
FX1-10-260-001,Solo lectura,FX1-10-260-000
FX1-10-260-002,Permitir Agregar Proveedor,FX1-10-260-000
FX1-10-260-003,Permitir Modificar Proveedor,FX1-10-260-000
FX1-10-260-004,Permitir Eliminar Proveedor,FX1-10-260-000
FX1-10-260-005,Expediente,FX1-10-260-000
FX1-10-260-005-A,Permitir agregar documento,FX1-10-260-005
FX1-10-260-005-B,Permitir vincular documento,FX1-10-260-005
FX1-10-260-005-C,Permitir modificar vinculos,FX1-10-260-005
FX1-10-260-005-D,Pemitir eliminar vinculos,FX1-10-260-005
FX1-10-260-005-E,Permitir eliminar documentos,FX1-10-260-005
FX1-10-340-000,Tipos de Proveedor,FX1-10-00-000
FX1-10-340-001,Solo lectura,FX1-10-340-000
FX1-10-340-002,Permitir Agregar Tipos de Proveedor,FX1-10-340-000
FX1-10-340-003,Permitir Modificar Tipos de Proveedor,FX1-10-340-000
FX1-10-340-004,Permitir Eliminar Tipos de Proveedor,FX1-10-340-000
FX1-60-00-000,Proveedores y Cuentas por pagar,FX1-00-00-000
FX1-60-01-000,Habilitar Acceso,FX1-60-00-000
FX1-60-10-000,Permitir Crear nueva cuenta por pagar,FX1-60-00-000
FX1-60-20-000,Permitir Pagar documento,FX1-60-00-000
FX1-60-30-000,Permitir Bonificar documento,FX1-60-00-000
FX1-60-40-000,Permitir Aplicar abonos,FX1-60-00-000
FX1-60-50-000,Permitir Crear recibo,FX1-60-00-000
FX1-60-60-000,Financiar,FX1-60-00-000
FX1-60-60-001,Permitir Financiar documento,FX1-60-60-000
FX1-60-60-002,Permitir Financiar capital,FX1-60-60-000
FX1-60-70-000,Permitir Crear nota de cargo,FX1-60-00-000
FX1-60-80-000,Permitir Crear nota de crédito,FX1-60-00-000
FX1-60-90-000,Permitir Generar intereses moratorios,FX1-60-00-000
FX1-60-91-000,Aplicar todos los abonos pendientes,FX1-60-00-000
FX1-10-30-000,Banco,FX1-10-00-000
FX1-10-30-001,Solo lectura,FX1-10-30-000
FX1-10-30-002,Permitir Agregar Banco,FX1-10-30-000
FX1-10-30-003,Permitir Modificar Banco,FX1-10-30-000
FX1-10-30-004,Permitir Eliminar Banco,FX1-10-30-000
FX1-20-20-000,Compras,FX1-20-00-000
FX1-20-20-700,Gastos,FX1-20-20-000
FX1-20-20-701,Habilitar Acceso,FX1-20-20-700
FX1-20-20-702,Permitir Agregar,FX1-20-20-700
FX1-20-20-703,Permitir Editar,FX1-20-20-700
FX1-20-20-704,Permitir Cancelar,FX1-20-20-700
FX1-20-20-705,Archivos adjuntos,FX1-20-20-700
FX1-20-20-705A,Permitir agregar archivo,FX1-20-20-705
FX1-20-20-705B,Permitir vincular archivo,FX1-20-20-705
FX1-20-20-705C,Permitir modificar archivo ,FX1-20-20-705
FX1-20-20-705D,Permitir eliminar archivo,FX1-20-20-705
FX1-20-20-705E,Permitir eliminar vínculo,FX1-20-20-705
FX1-70-00-000,Contabilidad y finanzas,FX1-00-00-000
FX1-72-00-000,Cuentas de cheque,FX1-70-00-000
FX1-72-00-001,Habilitar Acceso,FX1-72-00-000
FX1-72-01-000,Permitir Realizar Retiro,FX1-72-00-000
FX1-72-02-000,Permitir Realizar Cheque,FX1-72-00-000
FX1-72-03-000,Permitir Realizar Depósito,FX1-72-00-000
FX1-72-04-000,Permitir Realizar Transferencia,FX1-72-00-000
FX1-72-05-000,Permitir Realizar Cobro,FX1-72-00-000
FX1-72-06-000,Permitir Realizar Recibo,FX1-72-00-000
FX1-72-07-000,Permitir Realizar Vale de ingreso,FX1-72-00-000
FX1-72-08-000,Permitir Realizar Vale de egreso,FX1-72-00-000
FX1-72-09-000,Permitir Realizar Pago,FX1-72-00-000
FX1-72-10-000,Permitir Conciliar Movimiento de cuenta,FX1-72-00-000
FX1-72-11-000,Permitir Cancelar Movimiento de cuenta,FX1-72-00-000
